epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,0.5929,0.6248,0.5957,0.6207,0.5984,0.6259
2,0.5919,0.6259,0.5980,0.6251,0.5968,0.6159
3,0.5883,0.6280,0.5942,0.6166,0.5930,0.6161
4,0.5868,0.6251,0.5924,0.6212,0.5915,0.6265
5,0.5819,0.6268,0.5933,0.6252,0.5921,0.6233
6,0.5835,0.6246,0.5933,0.6228,0.5919,0.6209
7,0.5869,0.6248,0.5927,0.6392,0.5914,0.6280
8,0.5797,0.6243,0.5855,0.6307,0.5860,0.6281
9,0.5796,0.6288,0.5861,0.6256,0.5845,0.6230
10,0.5771,0.6267,0.5859,0.6227,0.5859,0.6240
11,0.5891,0.6251,0.5940,0.6178,0.5971,0.6174
12,0.5774,0.6279,0.5844,0.6433,0.5867,0.6305
13,0.5809,0.6300,0.5945,0.6271,0.5932,0.6198
14,0.5789,0.6325,0.5885,0.6164,0.5869,0.6203
15,0.5842,0.6270,0.5961,0.6145,0.5921,0.6228
16,0.5790,0.6286,0.5862,0.6328,0.5848,0.6333
17,0.5910,0.6333,0.6098,0.6062,0.6065,0.6100
18,0.5738,0.6365,0.5883,0.6172,0.5870,0.6180
19,0.5791,0.6365,0.5969,0.6379,0.5971,0.6219
20,0.5781,0.6338,0.5880,0.6248,0.5903,0.6197
21,0.5770,0.6351,0.5924,0.6066,0.5915,0.6134
22,0.5761,0.6389,0.5854,0.6116,0.5856,0.6197
23,0.5743,0.6403,0.5872,0.6307,0.5920,0.6160
24,0.5730,0.6377,0.5831,0.6263,0.5839,0.6201
25,0.5748,0.6377,0.5915,0.6207,0.5933,0.6213
26,0.5723,0.6418,0.5864,0.6186,0.5863,0.6126
27,0.5753,0.6380,0.5903,0.6191,0.5863,0.6182
28,0.5757,0.6385,0.5885,0.6288,0.5891,0.6199
29,0.5761,0.6367,0.5875,0.6250,0.5876,0.6223
30,0.5694,0.6425,0.5930,0.6224,0.5903,0.6189
31,0.5778,0.6424,0.5936,0.6372,0.5920,0.6267
32,0.5703,0.6432,0.5935,0.6260,0.5920,0.6206
33,0.5716,0.6475,0.5934,0.6230,0.5925,0.6225
34,0.5661,0.6475,0.5916,0.6366,0.5901,0.6225
35,0.5689,0.6512,0.5873,0.6271,0.5909,0.6066
36,0.5649,0.6516,0.5941,0.6250,0.5940,0.6140
37,0.5645,0.6547,0.5960,0.6213,0.5985,0.6248
38,0.5705,0.6428,0.6011,0.6280,0.5997,0.6185
