epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,182376829321.6256,0.5972,182128423968.7680,0.6062,202397354465.6896,0.5931
2,14140922701.3824,0.6324,14849192217.8048,0.6347,15060405986.0992,0.6231
3,2867778926.1568,0.6446,3388671324.3628,0.6341,2593908262.2720,0.6357
4,727466641.5008,0.6541,861781762.8744,0.6627,678909634.8693,0.6473
5,153931960.4081,0.6544,153757908.9280,0.6617,156560857.8640,0.6456
6,58860843.1926,0.6581,54961128.8064,0.6566,51007584.6582,0.6602
7,14677807.5412,0.6622,16377551.6288,0.6759,14183341.6412,0.6517
8,4984552.9741,0.6570,5855997.0020,0.6676,5723504.8337,0.6655
9,1920228.3396,0.6668,1920659.0735,0.6541,1810472.9082,0.6530
10,800227.8053,0.6590,635784.5428,0.6607,665604.5088,0.6615
11,198298.6082,0.6647,164083.8042,0.6680,239342.9660,0.6588
12,67217.1764,0.6628,82655.5848,0.6603,68645.3875,0.6541
13,21337.2727,0.6641,24599.6543,0.6519,18695.9517,0.6629
14,9186.9560,0.6768,10788.2586,0.6749,8746.1314,0.6771
15,15847.5382,0.6713,17072.0798,0.6575,15426.3894,0.6680
16,9262.6076,0.6737,9912.9305,0.6770,8790.0023,0.6838
17,6628.5619,0.6759,8180.5827,0.6735,6387.2477,0.6913
18,1493.0615,0.6992,1634.2022,0.6927,1676.2467,0.6985
19,1571.8603,0.7012,2642.4285,0.7057,1414.1318,0.7122
20,6212.7309,0.6709,5830.2240,0.6713,5518.6043,0.6701
21,4879.8048,0.6763,5332.4057,0.6728,4633.0702,0.6806
22,3580.7205,0.6897,3175.2444,0.6855,2847.8926,0.6936
23,935.0212,0.6652,897.4567,0.6712,894.5902,0.6669
24,10774.1763,0.6602,12573.8503,0.6616,9875.0269,0.6641
25,782.3514,0.6683,851.9850,0.6607,639.6203,0.6796
26,7863.1138,0.6613,6057.4225,0.6615,7504.8167,0.6584
27,5401.0737,0.6583,5337.4210,0.6689,5039.1073,0.6489
28,3123.3415,0.6586,3077.5916,0.6588,2979.8590,0.6591
29,1257.7901,0.6604,1375.1942,0.6699,1646.4608,0.6657
30,9507.1287,0.6624,10468.4954,0.6660,9176.5594,0.6644
31,3817.2120,0.6621,4344.8513,0.6595,3124.9357,0.6635
32,782.7468,0.6569,662.9092,0.6584,811.3199,0.6606
33,1103.7346,0.6653,1213.1448,0.6671,1116.9589,0.6658
34,1305.3217,0.6688,1481.0636,0.6634,898.3502,0.6716
35,477.3905,0.6684,550.0025,0.6593,456.1235,0.6766
36,1510.8417,0.6587,1848.2211,0.6528,1450.0431,0.6616
37,540.5454,0.6593,587.6267,0.6581,506.4204,0.6637
38,3752.1566,0.6774,3880.9001,0.6836,3407.8347,0.6836
39,1572.4935,0.6741,1630.6723,0.6786,1586.2463,0.6731
40,464.5850,0.6711,536.1665,0.6776,563.6750,0.6823
41,523.8323,0.6601,548.6926,0.6575,479.7909,0.6571
42,318.3881,0.6893,308.8053,0.6882,297.2380,0.6806
43,582.0586,0.6694,786.2111,0.6607,566.6672,0.6593
44,711.9598,0.6639,811.6425,0.6746,630.5547,0.6678
45,186.6943,0.6649,217.1929,0.6584,171.3289,0.6636
46,302.6334,0.6671,372.8543,0.6706,279.7579,0.6707
47,156.0989,0.6744,147.6435,0.6814,162.6089,0.6678
48,376.6673,0.6690,339.2744,0.6693,322.9928,0.6622
49,1513.3164,0.6257,1320.5247,0.6383,1750.5699,0.6255
50,411.0186,0.6643,498.3804,0.6635,420.0937,0.6598
51,436.0792,0.6647,561.3065,0.6558,548.5516,0.6654
52,249.2778,0.6636,295.7041,0.6544,263.8662,0.6649
53,299.9799,0.6830,294.8172,0.6830,293.1700,0.6883
54,292.9772,0.6712,321.4321,0.6751,295.2575,0.6709
55,140.7653,0.6766,170.2496,0.6601,129.6163,0.6737
56,217.6948,0.6590,242.5536,0.6602,223.2310,0.6513
57,254.1140,0.6624,269.2964,0.6739,233.7740,0.6770
58,279.7693,0.6588,307.2451,0.6629,267.1207,0.6606
59,58.8586,0.6754,65.9026,0.6735,49.2680,0.6614
60,293.3426,0.6538,444.1251,0.6564,223.3156,0.6561
61,85.5789,0.6517,81.5804,0.6513,108.2012,0.6517
62,54.8647,0.6558,60.8308,0.6659,51.4382,0.6522
63,206.5203,0.6706,226.7164,0.6609,250.0561,0.6610
64,64.4341,0.6434,70.3303,0.6584,60.0186,0.6443
