epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,26276432440238344706719744.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
2,26276432284824527899197440.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
3,26276432513996500980727808.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
4,26276432196193685858156544.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
5,26276432782021925042913280.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
6,26276432674915520968916992.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
7,26276432346563475893387264.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
8,26276432568385570225520640.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
9,26276432170742946612641792.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
10,26276432435021376781287424.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
11,26276432410608262979780608.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
12,26276432619200586729914368.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
13,26276432252686842401390592.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
14,26276432279175211385880576.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
15,26276432123127285606776832.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
16,26276432349676360815345664.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
17,26276432127277804562677760.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
18,26276432532558537885220864.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
19,26276432584987641754157056.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
20,26276432379882904462819328.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
21,26276432761125225520693248.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
22,26276432475373629614325760.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
23,26276432426547402011312128.0000,0.3463,20188081537249122388541440.0000,0.3378,22317083499547681504624640.0000,0.3431
