epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,39049612029958.5547,0.6069,38995708404249.3984,0.6082,42532415862105.7031,0.6077
2,4087986346216.6528,0.6427,4845105569225.1133,0.6510,3766716859901.5425,0.6420
3,422635968895.5904,0.6529,435338365219.8400,0.6505,412320772237.1072,0.6577
4,82847936163.3280,0.6519,73348123049.9840,0.6605,75051515833.5488,0.6378
5,16372081853.7728,0.6598,15170554476.9536,0.6542,15607585651.5072,0.6616
6,6623261358.2848,0.6625,6499004703.8464,0.6532,6687595640.4224,0.6540
7,2042512009.3344,0.6609,1991147599.0272,0.6637,2290324414.7712,0.6541
8,783088350.5248,0.6618,773289523.9424,0.6680,1024117365.1995,0.6623
9,297531558.3544,0.6583,256544035.6592,0.6591,392705504.7472,0.6553
10,143953505.8648,0.6570,141046976.3008,0.6598,145845984.4586,0.6550
11,71237019.1833,0.6588,63638245.5264,0.6562,86092857.0568,0.6618
12,27915159.8209,0.6643,27166361.7584,0.6530,25091963.2164,0.6587
13,11704358.3427,0.6639,11170958.0500,0.6651,10354101.2526,0.6597
14,4985111.1228,0.6601,3472869.3040,0.6503,5415319.6490,0.6568
15,2796072.2423,0.6611,2849521.6294,0.6642,2471301.6920,0.6725
16,720764.7976,0.6626,609526.9802,0.6632,793899.4865,0.6586
17,197994.7481,0.6650,185282.0478,0.6665,150141.7758,0.6691
18,255394.5358,0.6604,235491.4924,0.6645,224095.9295,0.6629
19,118151.9698,0.6648,92465.7348,0.6606,83448.4746,0.6582
20,73190.3346,0.6667,61841.9898,0.6702,78735.8647,0.6754
21,58181.4193,0.6634,51525.1525,0.6680,48293.4259,0.6670
22,131289.9988,0.6607,107275.5125,0.6598,116031.2029,0.6589
23,60215.3447,0.6614,40290.3702,0.6631,42450.0801,0.6613
24,111744.8584,0.6652,102428.8714,0.6652,97784.7853,0.6668
25,32564.4988,0.6646,32716.2709,0.6764,29411.4158,0.6788
26,14932.9564,0.6579,11729.1948,0.6713,13743.9045,0.6624
27,9366.5730,0.6645,9548.8219,0.6580,10014.6809,0.6597
28,28597.4293,0.6613,24008.9700,0.6566,22384.4699,0.6721
29,29454.8361,0.6691,26660.1652,0.6684,29788.4831,0.6505
30,10542.9149,0.6558,9169.9860,0.6638,10734.2599,0.6667
31,25002.6008,0.6630,20207.9811,0.6668,23062.9746,0.6614
32,9803.6960,0.6676,9525.8982,0.6688,10016.6921,0.6616
33,14999.4417,0.6665,13505.2174,0.6608,16759.5984,0.6623
34,6869.1640,0.6626,6184.3751,0.6573,5038.6941,0.6633
35,10143.3920,0.6646,8597.9363,0.6668,9364.3278,0.6707
36,13429.7207,0.6613,12106.3843,0.6566,14305.9788,0.6577
37,2848.1040,0.6650,2466.4811,0.6669,3070.2638,0.6694
38,4215.7022,0.6549,3725.9967,0.6598,6127.7366,0.6697
39,12453.4424,0.6572,12003.2510,0.6546,18010.8320,0.6482
40,11940.4126,0.6638,7490.5426,0.6644,9556.3965,0.6636
41,5312.8764,0.6615,4756.2708,0.6547,6163.2261,0.6466
42,5360.5387,0.6641,5277.9977,0.6647,4596.7676,0.6645
43,4977.3242,0.6648,6410.0774,0.6691,4844.3081,0.6644
44,5744.7498,0.6666,5409.6164,0.6641,5481.3879,0.6595
45,18558.9467,0.6549,22201.8903,0.6482,12730.2229,0.6487
46,920.1039,0.6695,819.9757,0.6694,946.9908,0.6774
47,1832.3897,0.6632,1710.9131,0.6672,1642.5113,0.6787
48,2676.2527,0.6634,2418.9716,0.6604,2614.9227,0.6618
49,1750.8936,0.6676,1029.0899,0.6654,1885.4083,0.6614
50,5726.9107,0.6673,4894.0181,0.6557,4742.1139,0.6566
51,525.5563,0.6650,529.3212,0.6585,405.3382,0.6648
52,389.7148,0.6615,409.0187,0.6659,305.2216,0.6713
53,187.2034,0.6654,179.6883,0.6701,287.3130,0.6616
54,391.9010,0.6666,559.9225,0.6703,514.2768,0.6537
55,290.9255,0.6595,327.2608,0.6565,265.3447,0.6583
56,366.8244,0.6679,338.2632,0.6578,314.5607,0.6705
57,147.6685,0.6675,116.8265,0.6719,129.1920,0.6699
