epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,4249589.5980,0.6076,4605177.9512,0.6076,4483839.5396,0.6022
2,454288.7974,0.6756,422264.1520,0.6778,526702.6319,0.6722
3,84882.1401,0.7662,77522.2407,0.7677,87531.5173,0.7714
4,13951.8351,0.8209,15073.0134,0.8193,16834.2794,0.8168
5,3094.6439,0.8974,3053.2064,0.8960,4314.1823,0.8904
6,2408.0629,0.9400,2397.6829,0.9421,2474.4593,0.9471
7,1312.0575,0.9766,442.5525,0.9757,2394.4478,0.9757
8,69.9270,0.9896,99.7013,0.9907,90.1244,0.9893
9,323.8367,0.9941,23.6410,0.9957,352.9010,0.9949
10,443.9648,0.9926,684.6642,0.9916,545.8505,0.9925
11,1760.0726,0.9878,1621.4348,0.9874,2079.3460,0.9880
12,537.2121,0.9899,849.1707,0.9872,643.8826,0.9901
13,34.3702,0.9986,94.0373,0.9974,237.2037,0.9965
14,120.8083,0.9978,115.0597,0.9974,41.5108,0.9979
15,273.0179,0.9948,141.8264,0.9932,124.1056,0.9941
16,370.0944,0.9948,76.9970,0.9932,258.5583,0.9952
17,48.0609,0.9989,34.4902,0.9987,53.3354,0.9987
18,591.8700,0.9911,495.3417,0.9909,776.4905,0.9925
19,95.7074,0.9978,1.6031,0.9992,31.8539,0.9973
20,17.2359,0.9995,8.1988,0.9992,20.2419,0.9992
21,158.2935,0.9959,317.3649,0.9956,120.1367,0.9967
22,279.4850,0.9988,1234.4934,0.9981,24.1571,0.9987
23,0.0000,1.0000,0.0001,1.0000,0.0001,1.0000
24,0.0000,1.0000,0.0001,1.0000,0.0001,1.0000
25,0.0301,0.9999,0.0001,1.0000,0.1205,0.9997
26,3527.3657,0.9948,2030.2513,0.9933,2761.6060,0.9955
27,61.1154,0.9995,47.1652,0.9992,110.3347,0.9992
28,1.3076,0.9993,2.3698,0.9984,0.0884,0.9997
29,6.0030,0.9995,0.0337,0.9997,1.4494,0.9992
30,65.7193,0.9997,0.0001,1.0000,131.6714,0.9995
31,0.9312,0.9998,0.0001,1.0000,6.9592,0.9997
32,0.0000,1.0000,0.0001,1.0000,0.0001,1.0000
33,0.0000,1.0000,0.0001,1.0000,0.0001,1.0000
34,0.0000,1.0000,0.0001,1.0000,0.0001,1.0000
35,0.0000,1.0000,0.0001,1.0000,0.0001,1.0000
