epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,7835130109108840.0000,0.6143,6127243462367615.0000,0.6119,7718544126580359.0000,0.6082
2,396459277969627.5625,0.6496,346182558519656.4375,0.6641,359149541366589.0000,0.6507
3,30987543752762.9805,0.6596,37545773425315.0234,0.6652,40518188105151.2812,0.6562
4,8861098157408.2559,0.6642,7902393986457.5996,0.6614,9383284344061.9512,0.6678
5,2155243479642.9312,0.6634,2437194964742.5537,0.6662,2686786766897.1519,0.6565
6,474156159367.3984,0.6624,472417284683.0160,0.6723,551892971277.5168,0.6576
7,174638924959.8976,0.6639,230889008094.4896,0.6600,172282117408.3584,0.6655
8,57416718526.1568,0.6660,57489781199.4112,0.6625,71705595086.4384,0.6559
9,17730745238.4768,0.6639,16919505586.3232,0.6580,20589999861.3504,0.6707
10,11899630786.1568,0.6653,13983660807.8766,0.6636,17280389933.0267,0.6659
11,2895731545.9216,0.6629,3691523203.7084,0.6652,3120578173.0304,0.6584
12,1861795460.9560,0.6621,1356668255.7586,0.6747,1351909308.6976,0.6741
13,639717611.3356,0.6613,616607892.0176,0.6622,663587917.6320,0.6586
14,354758875.6160,0.6562,345167975.2382,0.6639,350405881.5872,0.6615
15,131796166.5884,0.6594,103267504.9166,0.6556,136335261.6064,0.6594
16,63881383.4744,0.6620,62538875.9146,0.6547,55731069.6144,0.6661
17,23017539.4402,0.6626,21435717.2286,0.6679,21527209.9525,0.6827
18,13110646.3396,0.6653,8609258.8843,0.6684,10931462.0980,0.6702
19,7504628.5625,0.6653,5998149.3165,0.6615,7928717.3772,0.6761
20,7550297.7782,0.6604,6955100.8046,0.6621,8218158.2612,0.6569
21,6187472.5304,0.6580,5453342.2951,0.6766,6837981.2744,0.6528
22,3681822.2938,0.6637,3413800.8144,0.6505,4771018.2094,0.6596
23,3555602.0255,0.6577,2815525.0366,0.6551,3395220.9522,0.6630
24,3410298.5656,0.6562,2766278.6687,0.6579,3236242.3598,0.6579
25,1536605.5135,0.6585,1594752.5702,0.6599,1694927.1948,0.6651
26,2211654.1895,0.6564,2142870.6599,0.6598,2034032.5181,0.6516
27,733717.2777,0.6628,563391.8073,0.6645,663588.6982,0.6671
28,1467967.2448,0.6614,1611145.6661,0.6545,1368026.5423,0.6518
29,346751.7979,0.6630,310367.2292,0.6611,336734.1945,0.6601
30,430055.6101,0.6605,406616.8108,0.6498,664496.9590,0.6704
31,257473.4489,0.6656,212599.0858,0.6617,307071.9909,0.6653
32,183728.7918,0.6676,205513.4723,0.6647,221608.3261,0.6681
33,180568.5028,0.6643,186277.5373,0.6539,200675.6043,0.6559
34,55810.2141,0.6650,55163.1211,0.6654,56463.6436,0.6641
35,151521.7041,0.6633,142030.0967,0.6518,166053.5695,0.6623
36,68412.6162,0.6623,58613.1773,0.6567,71785.9717,0.6724
37,73860.1106,0.6616,54658.0167,0.6656,64727.5475,0.6633
38,51700.2376,0.6614,45766.0351,0.6503,51406.9213,0.6636
39,43007.5611,0.6598,43103.6956,0.6510,39332.9066,0.6648
40,10602.3691,0.6675,11545.3485,0.6578,17535.0140,0.6738
41,21376.1180,0.6600,19068.3284,0.6704,21385.6950,0.6601
42,12394.6777,0.6602,13842.1006,0.6533,14418.6320,0.6547
43,24755.2238,0.6626,32410.3919,0.6568,28821.9611,0.6694
44,122168.5448,0.6643,142067.3336,0.6620,131205.2707,0.6644
45,105279.9903,0.6604,92962.6657,0.6582,199932.3509,0.6484
46,65956.9421,0.6625,47700.3939,0.6654,50775.2603,0.6582
47,14308.5354,0.6625,11130.0208,0.6741,13893.7196,0.6498
48,34412.2433,0.6600,37409.2717,0.6632,37349.4311,0.6596
49,27334.3100,0.6533,27319.7882,0.6642,24483.6725,0.6564
50,8514.2313,0.6608,9216.2596,0.6549,11044.8774,0.6749
51,36693.2032,0.6633,28416.1987,0.6720,31308.4631,0.6595
52,11675.9924,0.6658,11474.4768,0.6652,15222.8540,0.6656
53,3413.7232,0.6660,3034.0159,0.6554,3540.6073,0.6694
54,3726.1707,0.6640,3829.4600,0.6671,4890.4818,0.6665
55,3950.7459,0.6637,3790.5004,0.6637,3592.8412,0.6587
56,16045.2785,0.6513,12859.3697,0.6500,14306.9471,0.6366
57,4452.6013,0.6628,4593.4619,0.6534,3893.3020,0.6644
58,15688.8996,0.6531,19469.4386,0.6436,16318.6586,0.6555
59,8931.6172,0.6649,7395.5341,0.6714,7854.7680,0.6584
60,25225.5365,0.6554,18797.2624,0.6555,21586.1114,0.6619
61,1793.2168,0.6608,2294.1103,0.6571,1656.7929,0.6722
62,7017.1555,0.6632,10810.4711,0.6433,8864.4789,0.6748
63,6399.2130,0.6626,5687.0656,0.6674,5581.8872,0.6548
64,9448.8379,0.6623,7877.7886,0.6754,8943.8172,0.6661
65,4651.8006,0.6578,3720.1439,0.6732,4441.6015,0.6508
66,2278.5098,0.6615,2639.2738,0.6679,1947.3389,0.6590
67,2075.7765,0.6570,2623.5150,0.6636,2865.6672,0.6620
68,3036.9560,0.6539,3337.2860,0.6364,3746.5971,0.6532
69,5256.5585,0.6580,6325.3655,0.6540,6531.8594,0.6557
70,2492.0150,0.6656,3526.8407,0.6613,3163.4486,0.6497
71,1109.5025,0.6570,1072.7279,0.6537,1044.8351,0.6606
72,847.1237,0.6589,1146.7729,0.6419,889.3159,0.6632
73,318.4073,0.6612,364.7677,0.6713,352.5666,0.6493
74,279.3009,0.6599,247.8008,0.6734,264.9141,0.6614
75,1425.4717,0.6584,1724.7482,0.6641,1818.7428,0.6712
76,651.7440,0.6614,772.4624,0.6449,741.1483,0.6638
77,4832.8437,0.6579,4824.2323,0.6737,5924.4178,0.6457
78,3523.9376,0.6626,5078.5596,0.6651,4574.8339,0.6610
79,439.5924,0.6593,312.2843,0.6685,474.7813,0.6606
80,862.9671,0.6608,1056.1227,0.6476,1025.1855,0.6717
81,1971.2942,0.6537,2359.3779,0.6422,1964.8388,0.6649
82,864.9095,0.6631,884.4457,0.6731,979.1998,0.6631
83,884.8731,0.6557,602.3333,0.6556,769.5840,0.6598
84,321.5342,0.6556,315.6711,0.6610,347.2152,0.6512
85,1060.6573,0.6623,1170.0554,0.6602,1164.8920,0.6653
86,548.1244,0.6536,639.2178,0.6490,522.2285,0.6369
87,153.2927,0.6568,177.1988,0.6630,146.8471,0.6556
88,372.0330,0.6594,400.4654,0.6496,404.6398,0.6701
89,568.3616,0.6627,448.8528,0.6614,491.4539,0.6562
90,1080.3459,0.6568,965.4296,0.6481,973.5513,0.6661
91,451.2168,0.6577,389.2842,0.6659,470.1892,0.6638
92,226.8504,0.6536,260.3821,0.6609,254.8303,0.6630
93,323.5866,0.6530,284.5623,0.6570,347.5998,0.6455
94,383.8801,0.6553,408.7576,0.6501,313.3357,0.6690
95,560.4776,0.6554,507.9119,0.6579,487.3185,0.6589
96,249.8831,0.6567,182.0878,0.6677,215.2876,0.6526
97,225.0976,0.6610,254.5924,0.6671,225.8289,0.6530
98,809.2900,0.6610,673.1605,0.6847,864.2452,0.6542
99,311.9476,0.6585,255.7471,0.6598,291.8251,0.6490
100,59.1260,0.6629,60.2683,0.6690,68.1634,0.6694
101,190.9663,0.6585,147.9191,0.6557,176.0470,0.6565
102,140.6335,0.6523,121.0589,0.6612,113.6891,0.6650
103,111.3184,0.6519,98.1794,0.6463,164.2079,0.6495
104,285.4542,0.6637,182.3218,0.6645,256.8054,0.6613
105,203.9702,0.6521,232.2769,0.6494,194.9552,0.6540
106,260.2844,0.6616,245.5206,0.6616,243.3856,0.6636
107,428.5133,0.6551,410.7963,0.6576,510.7765,0.6555
108,129.3120,0.6589,120.7386,0.6697,124.6413,0.6516
109,96.0966,0.6582,120.1066,0.6477,109.8729,0.6546
110,168.2795,0.6600,169.2409,0.6593,165.5775,0.6575
111,45.4678,0.6591,29.4847,0.6599,42.3892,0.6601
112,109.3872,0.6630,114.5759,0.6646,106.0476,0.6467
113,102.5753,0.6668,89.5498,0.6577,94.3765,0.6641
114,216.3680,0.6553,202.1784,0.6482,180.6284,0.6596
115,155.5275,0.6631,154.3443,0.6591,159.6075,0.6626
116,52.1914,0.6604,39.6884,0.6574,50.0313,0.6590
117,180.4255,0.6527,186.5986,0.6574,224.3772,0.6630
118,278.1362,0.6617,209.3198,0.6684,264.3459,0.6544
119,92.1323,0.6553,82.4587,0.6530,101.6558,0.6550
120,44.4123,0.6550,31.2033,0.6748,46.8796,0.6555
121,232.1890,0.6575,293.9286,0.6492,271.2371,0.6696
122,221.1407,0.6616,296.3411,0.6685,235.9663,0.6550
123,77.4332,0.6586,97.4947,0.6515,90.2046,0.6631
124,59.7591,0.6579,73.2421,0.6667,57.4551,0.6559
125,40.7031,0.6545,39.1938,0.6548,44.1645,0.6544
126,267.4458,0.6561,166.1731,0.6533,274.6445,0.6501
127,42.5049,0.6575,31.4107,0.6500,48.3005,0.6643
128,31.4026,0.6602,32.9902,0.6594,36.4946,0.6595
129,42.5002,0.6602,34.8968,0.6615,23.1377,0.6596
130,59.9825,0.6573,58.9225,0.6606,64.1210,0.6503
131,51.2341,0.6576,56.1781,0.6608,50.2585,0.6602
132,9.0986,0.6614,8.1269,0.6618,7.6207,0.6562
133,17.4433,0.6629,14.8887,0.6542,17.6987,0.6486
134,38.6008,0.6623,31.0558,0.6552,35.8464,0.6548
135,24.5150,0.6526,20.2717,0.6647,22.5493,0.6564
136,38.9624,0.6602,35.0333,0.6548,37.5956,0.6681
137,52.4529,0.6625,39.8091,0.6526,44.7455,0.6596
138,30.4611,0.6587,32.5903,0.6654,35.2753,0.6540
139,60.2072,0.6572,56.9210,0.6696,71.6046,0.6518
140,15.7232,0.6620,15.5068,0.6639,14.4600,0.6808
141,46.9914,0.6551,45.7892,0.6521,45.4749,0.6606
142,23.8176,0.6565,20.8416,0.6726,22.2840,0.6616
143,13.6745,0.6570,16.3887,0.6694,15.9904,0.6536
144,17.1176,0.6526,17.0552,0.6637,14.9437,0.6598
145,14.4135,0.6538,13.7055,0.6668,24.4074,0.6433
146,11.0906,0.6553,9.6689,0.6557,12.4659,0.6570
147,13.5072,0.6591,17.4483,0.6618,12.7551,0.6724
148,8.0719,0.6566,6.6502,0.6527,9.2535,0.6540
149,8.1238,0.6568,6.8186,0.6515,8.0541,0.6536
150,12.3094,0.6589,12.6511,0.6598,12.7109,0.6487
151,222.1079,0.6536,310.9646,0.6493,129.7337,0.6542
152,25.6751,0.6446,31.6598,0.6269,29.6506,0.6462
153,51.0519,0.6450,50.8793,0.6500,49.8927,0.6538
154,8.2767,0.6588,8.5468,0.6570,8.8857,0.6522
155,21.9151,0.6616,10.2677,0.6591,10.2289,0.6470
156,3.5787,0.6622,3.9927,0.6682,4.1957,0.6619
157,6.8239,0.6540,6.4094,0.6541,6.3542,0.6409
158,11.1256,0.6525,13.4224,0.6530,9.5416,0.6521
159,15.7590,0.6543,17.2050,0.6522,21.1410,0.6512
160,33.2633,0.6621,34.8900,0.6677,39.7084,0.6610
161,28.2272,0.6585,16.9571,0.6555,25.3053,0.6575
162,19.6329,0.6538,24.6271,0.6628,20.9758,0.6442
163,12.9322,0.6545,16.9301,0.6577,19.4490,0.6524
164,7.0196,0.6522,5.6917,0.6501,5.2290,0.6450
165,18.5527,0.6077,19.5987,0.6000,19.7497,0.6100
166,11.4533,0.6605,13.0533,0.6703,13.2992,0.6569
167,15.0242,0.6552,11.7555,0.6577,39.9263,0.6490
168,17.0706,0.6556,22.5133,0.6460,16.1015,0.6623
169,10.8090,0.6539,11.1375,0.6642,9.7290,0.6584
170,12.6944,0.6521,12.7214,0.6468,13.6196,0.6500
171,3.0396,0.6513,3.0489,0.6447,3.2486,0.6577
172,3.1613,0.6545,1.8237,0.6558,2.3310,0.6610
173,7.8010,0.6607,6.8429,0.6623,8.2072,0.6559
174,3.9155,0.6533,3.8137,0.6562,3.6482,0.6589
175,5.5612,0.6507,3.4032,0.6583,4.9076,0.6580
176,3.0889,0.6622,2.6295,0.6704,2.7517,0.6568
177,3.2250,0.6581,3.8619,0.6603,3.1158,0.6600
178,52.4015,0.6605,34.2023,0.6596,46.4338,0.6574
179,3.1328,0.6607,3.7927,0.6552,4.2285,0.6532
180,2.3770,0.6569,2.2596,0.6597,2.1310,0.6586
181,5.7693,0.6528,4.5294,0.6551,6.3071,0.6490
182,23.7356,0.6316,10.0076,0.6230,13.6887,0.6315
183,3.9682,0.6581,3.9252,0.6582,3.5241,0.6539
184,2.8577,0.6572,2.2029,0.6644,2.9639,0.6649
185,3.3686,0.6593,2.6575,0.6584,2.4848,0.6572
186,9.1513,0.6598,9.9728,0.6605,9.8615,0.6718
187,13.8007,0.6584,10.3634,0.6611,14.6584,0.6731
188,5.2431,0.6555,4.0680,0.6562,4.5104,0.6580
189,4.1565,0.6496,1.7484,0.6497,3.8620,0.6623
190,2.3928,0.6503,2.7568,0.6535,2.5580,0.6649
191,3.5564,0.6603,4.4552,0.6643,4.8633,0.6543
192,4.4621,0.6588,4.5776,0.6669,5.5836,0.6594
193,1.3832,0.6642,1.4769,0.6528,1.2864,0.6618
194,1.5775,0.6620,1.8441,0.6482,1.5321,0.6639
195,3.9043,0.6555,3.4284,0.6623,2.0668,0.6537
196,0.9998,0.6624,1.0003,0.6599,1.1510,0.6519
197,3.3707,0.6562,2.8213,0.6662,3.1048,0.6562
198,1.9260,0.6582,2.1798,0.6536,2.1614,0.6506
199,2.4121,0.6484,1.2188,0.6425,1.1782,0.6507
200,5.0412,0.6622,10.1977,0.6576,4.4332,0.6560
201,5.3259,0.6619,4.2154,0.6630,7.1777,0.6655
202,1.3695,0.6591,1.5105,0.6591,1.4665,0.6619
203,2.8210,0.6550,1.1655,0.6524,1.2722,0.6512
204,2.8361,0.6567,2.6687,0.6617,3.4238,0.6510
205,0.6942,0.6600,1.7288,0.6573,1.0972,0.6653
206,1.1092,0.6563,0.9513,0.6623,1.0482,0.6554
207,0.7936,0.6574,0.7903,0.6475,0.8219,0.6627
208,0.9572,0.6622,0.8141,0.6621,0.9636,0.6510
209,0.9347,0.6627,1.3040,0.6406,0.9009,0.6522
210,0.9412,0.6596,0.8026,0.6518,0.8070,0.6515
211,1.3365,0.6643,1.1811,0.6515,1.4191,0.6564
212,1.4449,0.6628,1.4647,0.6529,1.3329,0.6695
213,26.9551,0.6594,1.1244,0.6626,1.0088,0.6642
214,34.7457,0.6574,1.9098,0.6553,3.3613,0.6563
215,0.8267,0.6627,0.6159,0.6490,0.5553,0.6505
216,0.7944,0.6627,0.8620,0.6646,0.8924,0.6619
217,2.0202,0.6630,1.3094,0.6555,2.0156,0.6615
218,2.0273,0.6603,2.4212,0.6509,2.4856,0.6659
219,0.9444,0.6613,0.7998,0.6574,0.9613,0.6694
220,1.8943,0.6621,1.7717,0.6531,1.7663,0.6635
221,2.2113,0.6632,2.3045,0.6621,1.9777,0.6563
222,1.7015,0.6644,1.8584,0.6561,1.8709,0.6643
223,0.9546,0.6640,0.7056,0.6514,1.3132,0.6636
224,1.4759,0.6603,3.2371,0.6617,1.2158,0.6629
225,1.0571,0.6576,1.0801,0.6502,1.4784,0.6598
226,1.5314,0.6519,1.5599,0.6517,1.3421,0.6518
227,1.1731,0.6587,1.1004,0.6672,1.0851,0.6699
228,0.5360,0.6603,0.4854,0.6681,0.5159,0.6620
229,1.0155,0.6604,1.1004,0.6565,1.1806,0.6593
230,1.1133,0.6617,0.9404,0.6575,2.9668,0.6678
231,0.7576,0.6589,0.6632,0.6623,0.8653,0.6528
232,1.9196,0.6608,1.7064,0.6591,2.0105,0.6653
233,0.8284,0.6630,0.8892,0.6490,0.9400,0.6561
234,0.5287,0.6642,0.4966,0.6675,0.5402,0.6661
235,1.0844,0.6636,0.8655,0.6659,1.0026,0.6586
236,0.8386,0.6648,0.9189,0.6601,0.9360,0.6689
237,2.0338,0.6649,0.8373,0.6667,0.9271,0.6629
238,1.4754,0.6594,1.8289,0.6506,1.6993,0.6586
239,1.0877,0.6627,1.3130,0.6670,1.2141,0.6570
240,9.7639,0.6588,0.6665,0.6613,0.6782,0.6510
241,0.8769,0.6623,0.6747,0.6624,0.9062,0.6538
242,0.8589,0.6605,0.7277,0.6678,0.7959,0.6552
243,1.4492,0.6622,0.7438,0.6617,0.7300,0.6571
244,0.7785,0.6627,0.8888,0.6606,1.2890,0.6610
245,0.5033,0.6635,0.5541,0.6644,0.4969,0.6558
246,1.0372,0.6596,0.8106,0.6626,1.0478,0.6619
247,0.8591,0.6645,0.7846,0.6580,0.7735,0.6504
248,0.7049,0.6673,0.8396,0.6649,0.9064,0.6738
249,0.5348,0.6627,7.3622,0.6588,0.4974,0.6606
250,0.8592,0.6601,0.5540,0.6563,0.6324,0.6609
251,3.3416,0.6572,1.0205,0.6588,0.9520,0.6549
252,0.9064,0.6629,0.9008,0.6692,0.8543,0.6615
253,6.8958,0.6630,22.4547,0.6663,0.7784,0.6626
254,0.5677,0.6638,0.5296,0.6623,0.5107,0.6649
255,0.4984,0.6644,0.5479,0.6680,0.5453,0.6597
256,2.8372,0.6602,0.5019,0.6625,0.4910,0.6613
257,20.5955,0.6643,0.5069,0.6664,0.4954,0.6669
258,57.4860,0.6658,0.4728,0.6740,0.5743,0.6752
259,0.4573,0.6652,0.5100,0.6676,0.5990,0.6708
260,0.4832,0.6666,0.4613,0.6547,0.4894,0.6647
261,0.5194,0.6651,0.5064,0.6654,0.5053,0.6739
262,1.2864,0.6652,0.5264,0.6799,0.5720,0.6675
263,2.3274,0.6642,0.5203,0.6710,0.5140,0.6673
264,0.6504,0.6638,0.6366,0.6526,0.5770,0.6665
265,0.6431,0.6653,0.5810,0.6647,0.6038,0.6662
266,5.1968,0.6672,2.5945,0.6635,0.7815,0.6654
267,0.4749,0.6617,0.4685,0.6716,0.7456,0.6750
268,0.4910,0.6661,0.5052,0.6738,0.5063,0.6645
269,2.7417,0.6550,3.2694,0.6637,3.7417,0.6554
270,0.5961,0.6642,0.6738,0.6697,0.8303,0.6603
271,0.4497,0.6699,0.4318,0.6734,0.4444,0.6596
272,0.4881,0.6621,0.4404,0.6653,0.4944,0.6692
273,0.4694,0.6607,0.4829,0.6691,0.4634,0.6519
274,0.6469,0.6668,0.5560,0.6769,0.5356,0.6633
275,0.4694,0.6674,0.8443,0.6563,0.4396,0.6581
276,0.4759,0.6625,0.4532,0.6586,0.4723,0.6687
277,0.6473,0.6683,0.6290,0.6703,0.7153,0.6666
278,0.5913,0.6643,0.4764,0.6633,0.5584,0.6799
279,0.9682,0.6669,0.5328,0.6644,0.6033,0.6717
280,0.6092,0.6631,0.4930,0.6621,0.4576,0.6607
281,0.4376,0.6669,0.4338,0.6694,0.4337,0.6621
282,0.4370,0.6618,0.4661,0.6685,0.4384,0.6812
283,2.9831,0.6662,0.6103,0.6532,0.8535,0.6633
284,106.7643,0.6621,0.6259,0.6615,0.7080,0.6718
285,1.3709,0.6678,0.9067,0.6585,1.0471,0.6649
286,0.5222,0.6686,0.5178,0.6670,0.6017,0.6657
287,0.9116,0.6717,1.2791,0.6720,0.9955,0.6689
288,0.8563,0.6671,4.0158,0.6682,1.0800,0.6687
289,0.5292,0.6638,0.5124,0.6690,0.5943,0.6574
290,0.5567,0.6642,0.4873,0.6598,0.4826,0.6570
291,0.6536,0.6631,0.4935,0.6588,0.4633,0.6718
292,0.4332,0.6635,0.4369,0.6674,0.4267,0.6657
293,0.5160,0.6657,0.4679,0.6612,0.4371,0.6644
294,0.5305,0.6625,0.5839,0.6503,0.5821,0.6704
295,0.5005,0.6687,0.5191,0.6655,0.4409,0.6727
296,3.1216,0.6671,0.5221,0.6602,0.5545,0.6592
297,0.6291,0.6631,0.6890,0.6665,0.5786,0.6640
298,0.4445,0.6652,0.4309,0.6659,0.5998,0.6650
299,0.4424,0.6642,0.4599,0.6610,0.4337,0.6667
300,0.4237,0.6654,0.4345,0.6525,0.4201,0.6615
301,0.4461,0.6666,0.4539,0.6671,0.4279,0.6634
302,0.5416,0.6686,0.6567,0.6638,0.5742,0.6547
303,0.4669,0.6615,0.5012,0.6606,0.5468,0.6715
304,0.4502,0.6697,0.4253,0.6660,0.4691,0.6726
305,0.4242,0.6703,0.4162,0.6646,0.4135,0.6673
306,0.4068,0.6652,0.4031,0.6704,0.4072,0.6545
307,0.4286,0.6720,0.4491,0.6638,0.4249,0.6703
308,0.4073,0.6667,0.4061,0.6677,0.4112,0.6571
309,0.4330,0.6695,0.4431,0.6689,0.4354,0.6613
310,0.4579,0.6691,0.4676,0.6597,0.4593,0.6728
311,0.5049,0.6669,0.4083,0.6692,0.7754,0.6735
312,0.4432,0.6695,0.4392,0.6781,0.4253,0.6710
313,0.4088,0.6678,0.4068,0.6633,0.4103,0.6607
314,0.5605,0.6694,0.4178,0.6549,0.4059,0.6776
315,0.4671,0.6636,0.4400,0.6608,0.6249,0.6626
316,0.6393,0.6687,0.5108,0.6578,0.5167,0.6853
317,0.4566,0.6649,0.4750,0.6623,0.5008,0.6680
318,0.4110,0.6717,0.4188,0.6671,0.4045,0.6648
319,0.4568,0.6650,0.4739,0.6569,0.4562,0.6628
320,0.8110,0.6724,0.5010,0.6693,2.8563,0.6775
321,2.0321,0.6714,0.6129,0.6587,0.6110,0.6651
322,1.2255,0.6650,0.6678,0.6627,0.5202,0.6604
323,5.7660,0.6706,0.4514,0.6579,0.4690,0.6751
324,0.5966,0.6665,0.7500,0.6600,0.6732,0.6734
325,11.4308,0.6709,1.3440,0.6739,0.4757,0.6700
326,0.4786,0.6693,0.4314,0.6693,0.4507,0.6658
327,0.5569,0.6621,0.4980,0.6738,0.6047,0.6800
328,34.0755,0.6723,0.4566,0.6650,0.4852,0.6630
329,0.4802,0.6705,0.4466,0.6716,0.4657,0.6730
330,0.4365,0.6684,1.6592,0.6610,0.4272,0.6613
331,0.5944,0.6710,0.7210,0.6646,0.6514,0.6722
332,0.4929,0.6655,0.4682,0.6702,0.4886,0.6720
333,0.4282,0.6634,0.4258,0.6605,0.4097,0.6697
334,0.4083,0.6671,0.4108,0.6638,0.4081,0.6683
335,0.4228,0.6725,0.4229,0.6615,0.4271,0.6622
336,0.4101,0.6743,0.4095,0.6810,0.4024,0.6694
337,0.4482,0.6685,0.4367,0.6669,0.4867,0.6554
338,34.5911,0.6684,0.4790,0.6594,0.4718,0.6652
339,0.4009,0.6687,0.4030,0.6572,0.4009,0.6663
340,0.4076,0.6667,0.4093,0.6786,0.4116,0.6676
341,0.3997,0.6691,0.4001,0.6605,0.3983,0.6697
342,0.4103,0.6723,12.0744,0.6609,0.4126,0.6680
343,0.4010,0.6695,1.4223,0.6658,0.4015,0.6603
344,0.4972,0.6664,0.4730,0.6745,0.5156,0.6666
345,0.4094,0.6681,0.4060,0.6691,0.4108,0.6676
346,0.4060,0.6646,0.4001,0.6801,0.4035,0.6525
347,0.4427,0.6690,0.4358,0.6645,0.4512,0.6632
348,0.4161,0.6655,0.4303,0.6652,0.4199,0.6643
349,0.4332,0.6668,0.4442,0.6625,0.4401,0.6709
350,0.4420,0.6713,0.4007,0.6733,0.4007,0.6663
351,0.6035,0.6689,0.5023,0.6558,0.7979,0.6745
352,0.4243,0.6692,0.4298,0.6695,0.4328,0.6648
353,0.5201,0.6687,0.4843,0.6673,0.5419,0.6660
354,0.4155,0.6679,0.4239,0.6571,0.4195,0.6658
355,0.4190,0.6721,0.4223,0.6770,0.4204,0.6585
356,0.4013,0.6673,0.4005,0.6613,0.4025,0.6717
357,0.4161,0.6654,0.4192,0.6732,0.4136,0.6628
358,0.4320,0.6656,0.4013,0.6607,0.4115,0.6641
359,0.4400,0.6644,0.4496,0.6721,0.4210,0.6620
360,0.4400,0.6701,0.4404,0.6719,0.4404,0.6702
361,0.4214,0.6712,0.4195,0.6674,0.4113,0.6774
362,0.4928,0.6709,0.4341,0.6634,0.5189,0.6713
363,0.4965,0.6709,0.4691,0.6684,0.4522,0.6697
364,0.4005,0.6696,0.4033,0.6578,0.4011,0.6755
365,0.4003,0.6686,0.4020,0.6714,0.4009,0.6557
366,0.4027,0.6666,0.4042,0.6616,0.4043,0.6546
367,0.4272,0.6639,0.4155,0.6711,0.4112,0.6741
368,0.4519,0.6709,0.4515,0.6664,0.5001,0.6781
369,0.4268,0.6694,0.4182,0.6679,0.4416,0.6656
370,0.6096,0.6677,0.4328,0.6639,0.4399,0.6696
371,0.4505,0.6662,0.4043,0.6772,0.4119,0.6664
372,0.4142,0.6709,0.4242,0.6636,0.4191,0.6721
373,1.0670,0.6673,0.3996,0.6725,0.4041,0.6717
374,0.4640,0.6681,0.4357,0.6735,0.4591,0.6638
375,0.4000,0.6651,0.4007,0.6609,0.3994,0.6706
376,0.4466,0.6698,0.4301,0.6674,0.4556,0.6582
377,0.4024,0.6691,0.4024,0.6691,0.4077,0.6687
378,0.3974,0.6702,0.3980,0.6658,0.3974,0.6660
379,0.4329,0.6630,0.4365,0.6703,0.4348,0.6727
380,0.4022,0.6732,0.4010,0.6620,0.4064,0.6577
381,0.4000,0.6742,0.3977,0.6765,0.3972,0.6652
382,0.4260,0.6696,0.4246,0.6662,0.4294,0.6630
383,0.3980,0.6744,0.3977,0.6663,0.3979,0.6838
384,0.3974,0.6691,0.3971,0.6765,0.3971,0.6743
385,0.4001,0.6735,0.3970,0.6687,0.3991,0.6719
386,0.4047,0.6700,0.4092,0.6737,0.4009,0.6712
387,0.4004,0.6691,0.4021,0.6674,0.3995,0.6759
388,0.4098,0.6720,0.3987,0.6617,0.3981,0.6728
389,0.3978,0.6714,0.3973,0.6691,0.3981,0.6585
390,0.3989,0.6736,0.3972,0.6664,0.3970,0.6597
391,0.4016,0.6727,0.4080,0.6795,0.4098,0.6586
392,0.4010,0.6741,0.4117,0.6677,0.4079,0.6719
393,0.4092,0.6742,0.4091,0.6668,0.4174,0.6669
394,0.4024,0.6676,0.4033,0.6787,0.4031,0.6733
395,0.4039,0.6714,0.4004,0.6674,0.4048,0.6690
396,0.4073,0.6704,0.4071,0.6758,0.4077,0.6669
397,0.4039,0.6706,0.3978,0.6684,0.3979,0.6720
