epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1098132271.4432,0.6065,1180312696.8832,0.6064,1035578596.7622,0.6112
2,191570874.0540,0.6526,194659445.3894,0.6535,223978184.8704,0.6538
3,61066642.8246,0.7240,45697121.8296,0.7241,53113370.8055,0.7229
4,18379959.9545,0.7928,14089370.0948,0.7926,17212060.6236,0.7987
5,13597574.4225,0.8380,16443734.7945,0.8375,15209203.6741,0.8405
6,2861479.1699,0.8552,3176608.9878,0.8621,2976586.9243,0.8622
7,1716163.2202,0.8715,2128030.2401,0.8739,4527469.2058,0.8700
8,604446.6214,0.8624,1029431.1554,0.8721,669479.6910,0.8670
9,286661.2594,0.8757,269549.4334,0.8748,213839.5615,0.8827
10,379894.2886,0.8787,455101.0356,0.8840,869152.6676,0.8717
11,126834.8315,0.9072,128148.1522,0.9065,117250.7665,0.9024
12,143333.5940,0.8877,168725.2299,0.8917,187881.3661,0.8918
13,68761.8752,0.8904,115437.4602,0.8863,48847.9062,0.8955
14,28013.2774,0.9196,21107.8880,0.9264,30067.3962,0.9167
15,18533.2568,0.9339,18658.1876,0.9323,15032.7624,0.9345
16,79685.3204,0.9516,59158.8202,0.9540,118293.5862,0.9491
17,8385.5179,0.9670,6854.8227,0.9673,3780.8692,0.9666
18,15982.4197,0.9714,10018.1999,0.9700,10089.9884,0.9674
19,10738.6527,0.9584,16036.9238,0.9615,8617.6936,0.9608
20,3566.5934,0.9737,5216.2782,0.9713,3971.2547,0.9750
21,4305.7189,0.9696,4446.7615,0.9708,2817.3611,0.9672
22,2969.1826,0.9803,3087.0913,0.9800,5746.1637,0.9762
23,1694.9423,0.9802,3003.6811,0.9771,1204.1236,0.9778
24,2070.9131,0.9820,4398.9770,0.9794,1904.9576,0.9824
25,354.6865,0.9956,138.9468,0.9954,84.2032,0.9967
26,3372.7355,0.9939,3684.8916,0.9922,3865.6403,0.9919
27,982.3659,0.9968,1774.4176,0.9948,1074.4646,0.9957
28,250.1412,0.9979,157.8603,0.9978,139.5225,0.9968
29,843.7430,0.9968,1600.9415,0.9953,283.6069,0.9978
30,4866.7888,0.9928,3452.9517,0.9930,9000.5900,0.9926
31,524.6566,0.9965,746.1009,0.9962,262.3412,0.9965
32,710.0979,0.9978,1083.4614,0.9973,262.4887,0.9976
33,816.3125,0.9979,1890.8599,0.9957,54.0487,0.9981
34,2122.9081,0.9955,3463.6362,0.9976,2467.3961,0.9933
35,866.5252,0.9969,1686.8461,0.9970,1454.5100,0.9976
36,425.0555,0.9981,437.2675,0.9975,279.4031,0.9984
37,302.4205,0.9989,532.6583,0.9978,170.3176,0.9984
38,2966.7901,0.9959,1321.0551,0.9964,3127.4678,0.9958
39,111.7911,0.9995,33.1033,0.9995,47.3011,0.9984
40,19.0611,0.9995,129.8860,0.9994,14.5204,0.9995
41,1138.4003,0.9939,864.8856,0.9950,1137.8039,0.9915
42,35.7291,0.9992,27.5527,0.9989,241.1112,0.9979
43,0.4905,0.9999,0.0020,0.9997,7.5071,0.9995
44,945.2672,0.9904,1718.2125,0.9911,742.2042,0.9894
45,311.9255,0.9981,44.9747,0.9989,111.3989,0.9981
46,380.0726,0.9978,216.3667,0.9968,194.8740,0.9992
47,454.8808,0.9971,712.0164,0.9984,215.4293,0.9968
48,19.4845,0.9997,120.0878,0.9995,132.6616,0.9995
49,56.7869,0.9989,253.1809,0.9992,57.4767,0.9987
50,281.2029,0.9951,477.2977,0.9955,598.0762,0.9970
51,72.0359,0.9995,48.7562,0.9992,0.0064,0.9997
52,14.7964,0.9998,14.5597,0.9997,0.4408,0.9997
53,3387.6771,0.9917,4039.2119,0.9916,6860.9513,0.9904
54,237.5839,0.9986,615.8155,0.9984,295.0986,0.9994
55,987.4492,0.9942,1016.2942,0.9936,512.9457,0.9930
56,26.4114,0.9998,113.6526,0.9994,0.0001,1.0000
57,36.7646,0.9997,61.6388,0.9989,0.5582,0.9997
58,94.3092,0.9987,5.3008,0.9995,75.9250,0.9992
59,882.0601,0.9996,0.0003,0.9997,580.3791,0.9995
60,43.0001,0.9998,0.0002,1.0000,0.0001,1.0000
61,165.4522,0.9982,236.1593,0.9979,391.0435,0.9981
62,444.5565,0.9959,672.5002,0.9951,389.4212,0.9963
63,411.6334,0.9982,351.1054,0.9987,900.2576,0.9976
64,3624.4588,0.9951,3038.6666,0.9949,3324.0313,0.9957
65,26.4446,0.9998,258.6032,0.9997,0.0001,1.0000
66,1154.9537,0.9995,48.2912,0.9995,62.1804,0.9995
67,277.6926,0.9977,94.8528,0.9979,15.1185,0.9984
68,731.6054,0.9991,4784.0748,0.9976,1820.1871,0.9987
69,277.9507,0.9985,98.5628,0.9990,18.2381,0.9987
70,0.1471,1.0000,0.0004,1.0000,0.0001,1.0000
71,0.0031,1.0000,0.0001,1.0000,0.0001,1.0000
72,185.8121,0.9992,0.1512,0.9992,0.0002,1.0000
73,69.6239,0.9996,353.3602,0.9995,0.0001,1.0000
74,62.4587,0.9997,44.0628,0.9997,281.0408,0.9994
75,1069.5471,0.9981,1096.8617,0.9981,1289.4216,0.9976
76,12.1398,0.9999,0.0001,1.0000,69.2582,0.9994
77,0.0000,1.0000,0.0001,1.0000,0.0000,1.0000
78,0.0000,1.0000,0.0001,1.0000,0.0000,1.0000
79,0.0000,1.0000,0.0001,1.0000,0.0000,1.0000
80,0.0000,1.0000,0.0001,1.0000,0.0000,1.0000
81,0.0000,1.0000,0.0001,1.0000,0.0000,1.0000
82,0.0000,1.0000,0.0001,1.0000,0.0000,1.0000
83,0.0000,1.0000,0.0001,1.0000,0.0000,1.0000
84,0.0000,1.0000,0.0001,1.0000,1.2790,0.9997
85,0.0000,1.0000,0.0001,1.0000,0.0000,1.0000
86,0.0000,1.0000,0.0001,1.0000,0.0000,1.0000
87,0.5957,0.9999,0.0001,1.0000,0.0000,1.0000
88,84.9579,0.9990,83.1640,0.9992,120.4920,0.9989
89,2355.9380,0.9916,1347.2539,0.9929,1794.9178,0.9931
